Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6673488,-,-,-,-22.1,-65.59,0,3449,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI
2021,1,1,0,0,0
2021,1,1,0,10,0
2021,1,1,0,20,0
2021,1,1,0,30,0
2021,1,1,0,40,0
2021,1,1,0,50,0
2021,1,1,1,0,0
2021,1,1,1,10,0
2021,1,1,1,20,0
2021,1,1,1,30,0
2021,1,1,1,40,0
2021,1,1,1,50,0
2021,1,1,2,0,0
2021,1,1,2,10,0
2021,1,1,2,20,0
2021,1,1,2,30,0
2021,1,1,2,40,0
2021,1,1,2,50,0
2021,1,1,3,0,0
2021,1,1,3,10,0
2021,1,1,3,20,0
2021,1,1,3,30,0
2021,1,1,3,40,0
2021,1,1,3,50,0
2021,1,1,4,0,0
2021,1,1,4,10,0
2021,1,1,4,20,0
2021,1,1,4,30,0
2021,1,1,4,40,0
2021,1,1,4,50,0
2021,1,1,5,0,0
2021,1,1,5,10,0
2021,1,1,5,20,0
2021,1,1,5,30,0
2021,1,1,5,40,0
2021,1,1,5,50,0
2021,1,1,6,0,0
2021,1,1,6,10,0
2021,1,1,6,20,0
2021,1,1,6,30,0
2021,1,1,6,40,0
2021,1,1,6,50,0
2021,1,1,7,0,0
2021,1,1,7,10,0
2021,1,1,7,20,0
2021,1,1,7,30,0
2021,1,1,7,40,0
2021,1,1,7,50,0
2021,1,1,8,0,0
2021,1,1,8,10,0
2021,1,1,8,20,0
2021,1,1,8,30,0
2021,1,1,8,40,0
2021,1,1,8,50,0
2021,1,1,9,0,0
2021,1,1,9,10,0
2021,1,1,9,20,0
2021,1,1,9,30,0
2021,1,1,9,40,0
2021,1,1,9,50,5
2021,1,1,10,0,21
2021,1,1,10,10,71
2021,1,1,10,20,64
2021,1,1,10,30,147
2021,1,1,10,40,189
2021,1,1,10,50,232
2021,1,1,11,0,275
2021,1,1,11,10,319
2021,1,1,11,20,363
2021,1,1,11,30,408
2021,1,1,11,40,452
2021,1,1,11,50,496
2021,1,1,12,0,539
2021,1,1,12,10,582
2021,1,1,12,20,624
2021,1,1,12,30,665
2021,1,1,12,40,705
2021,1,1,12,50,744
2021,1,1,13,0,782
2021,1,1,13,10,819
2021,1,1,13,20,855
2021,1,1,13,30,889
2021,1,1,13,40,922
2021,1,1,13,50,953
2021,1,1,14,0,983
2021,1,1,14,10,1011
2021,1,1,14,20,1037
2021,1,1,14,30,1062
2021,1,1,14,40,1078
2021,1,1,14,50,1099
2021,1,1,15,0,1118
2021,1,1,15,10,1135
2021,1,1,15,20,1150
2021,1,1,15,30,1163
2021,1,1,15,40,1173
2021,1,1,15,50,1182
2021,1,1,16,0,1189
2021,1,1,16,10,1188
2021,1,1,16,20,1191
2021,1,1,16,30,1191
2021,1,1,16,40,1188
2021,1,1,16,50,1184
2021,1,1,17,0,1178
2021,1,1,17,10,1170
2021,1,1,17,20,1155
2021,1,1,17,30,1143
2021,1,1,17,40,1127
2021,1,1,17,50,1111
2021,1,1,18,0,1092
2021,1,1,18,10,1072
2021,1,1,18,20,1046
2021,1,1,18,30,1022
2021,1,1,18,40,995
2021,1,1,18,50,968
2021,1,1,19,0,939
2021,1,1,19,10,908
2021,1,1,19,20,876
2021,1,1,19,30,839
2021,1,1,19,40,803
2021,1,1,19,50,767
2021,1,1,20,0,729
2021,1,1,20,10,690
2021,1,1,20,20,651
2021,1,1,20,30,610
2021,1,1,20,40,568
2021,1,1,20,50,524
2021,1,1,21,0,482
2021,1,1,21,10,439
2021,1,1,21,20,396
2021,1,1,21,30,353
2021,1,1,21,40,308
2021,1,1,21,50,266
2021,1,1,22,0,223
2021,1,1,22,10,182
2021,1,1,22,20,142
2021,1,1,22,30,105
2021,1,1,22,40,69
2021,1,1,22,50,40
2021,1,1,23,0,17
2021,1,1,23,10,0
2021,1,1,23,20,0
2021,1,1,23,30,0
2021,1,1,23,40,0
2021,1,1,23,50,0
2021,1,2,0,0,0
2021,1,2,0,10,0
2021,1,2,0,20,0
2021,1,2,0,30,0
2021,1,2,0,40,0
2021,1,2,0,50,0
2021,1,2,1,0,0
2021,1,2,1,10,0
2021,1,2,1,20,0
