date,cmi,cmi1,cmi2,cmi3,cmi4,cmi5,cmi6,cmi7,cmi8,cmi9,cmi10,cmi11,cmi12,cmi13,cmi14,cmi15,cmi16,cmi17,cmi18,cmi19,cmi20,cmi30,cmi40,cmi50,cmi60,cmi70,cmi80,cmi90,cmi100
2022-01-01 09:00:20.780456,0.03174600133206695,0.031746,0.047619,0.05996467,0.05753963,0.04698408,0.051146332,0.058956858,0.05902772,0.053693853,0.047619,0.043552365,0.049382664,0.052221235,0.05021051,0.05206344,0.04972713,0.04844286,0.050068542,0.05056496,0.051507883,0.05291,0.053115025,0.054806296,0.057213347,0.057648145,0.057653718,0.057628784,0.057511054
2022-01-01 09:10:20.782082,0.1587300095707178,0.15873002,0.07936501,0.07054667,0.061507877,0.07746024,0.067019336,0.060252614,0.061507877,0.05604541,0.05682534,0.06034363,0.055996414,0.05917154,0.06333003,0.059682474,0.060763832,0.061514743,0.058201,0.059095047,0.05984121,0.058694825,0.058492005,0.061244383,0.06231034,0.064172275,0.063799545,0.06363702,0.063060254
2022-01-01 09:20:20.781926,0.19047600217163563,0.190476,0.14285699,0.14814802,0.16269825,0.13460304,0.15608452,0.14836396,0.13492051,0.14030948,0.13682526,0.12803346,0.13514097,0.13675201,0.13151915,0.13587286,0.13231634,0.12841202,0.132373,0.13067743,0.12896812,0.13301574,0.13591255,0.13594908,0.13686936,0.13847734,0.13900283,0.13796967,0.13745382
2022-01-01 09:30:20.781791,0.28571400325745344,0.285714,0.301587,0.328042,0.36309487,0.3987298,0.38977042,0.3692902,0.3700393,0.3746812,0.38444406,0.38961,0.3752201,0.37043265,0.36783248,0.3640208,0.36594704,0.37227404,0.36498103,0.3633642,0.36095202,0.3647968,0.36482108,0.36651394,0.3655111,0.3639517,0.36273277,0.36261773,0.3626187
2022-01-01 09:40:20.783482,0.6666660308837891,0.66666603,0.73015803,0.80070466,0.857142,0.8723801,0.8800697,0.84871966,0.82688403,0.8351942,0.8298404,0.81673807,0.8130504,0.8036059,0.7952697,0.79252136,0.79092187,0.7909039,0.7902207,0.7855596,0.7788881,0.7767188,0.7781937,0.78016436,0.77820915,0.7736437,0.7720677,0.76795936,0.7678818
2022-01-01 09:50:20.783392,1.2698400765657425,1.2698401,1.349205,1.3791873,1.3988081,1.3701574,1.3977059,1.3838665,1.3521813,1.3368593,1.3196813,1.2981753,1.2914449,1.2839285,1.264981,1.262221,1.2514869,1.2462229,1.2444628,1.2384459,1.2314274,1.2156602,1.21484,1.2096623,1.2031381,1.1925937,1.1865811,1.1796854,1.1794274
2022-01-01 10:00:20.785127,1.8095221370458603,1.8095222,1.7142842,1.7989401,1.8353157,1.8628554,1.8359767,1.7985083,1.7693436,1.7479897,1.7304746,1.716383,1.6812153,1.6675104,1.6499821,1.6371061,1.6268585,1.6258565,1.6123834,1.6079658,1.6006334,1.5725206,1.5691652,1.5595666,1.5439667,1.5240024,1.5121067,1.5001435,1.4988302
2022-01-01 10:10:20.785082,2.349204011261463,2.349204,2.4126961,2.3774228,2.3273787,2.30095,2.2768936,2.233882,2.1944423,2.1309013,2.069522,2.0406644,2.008596,1.9951141,1.9687377,1.9520264,1.9275774,1.9203584,1.9024087,1.9020339,1.8915063,1.8483582,1.8421013,1.8215982,1.79961,1.7746015,1.7582672,1.7446544,1.7444333
2022-01-01 10:20:20.785059,2.730156108736992,2.7301562,2.603172,2.7160468,2.6666641,2.6476164,2.618163,2.5293143,2.4707317,2.4103446,2.349204,2.31326,2.2533047,2.2271042,2.1920936,2.1715677,2.1537676,2.1481826,2.1308033,2.1246958,2.1094425,2.0671585,2.0569625,2.0293567,1.9978732,1.9656347,1.9473691,1.9321439,1.9327981
2022-01-01 10:30:20.786862,3.079362213611603,3.0793622,2.9523783,3.005288,3.045632,3.032378,3.010579,2.8791678,2.809521,2.7278044,2.6393626,2.591103,2.513666,2.4756246,2.4300265,2.4076169,2.3789659,2.372382,2.3444033,2.3379478,2.3169026,2.2554827,2.2427754,2.2058516,2.1662326,2.1250904,2.1035943,2.0872996,2.088471
