Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6876993,-,-,-,-23.64,-64.47,0,353,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI
2018,1,1,0,0,0
2018,1,1,0,10,0
2018,1,1,0,20,0
2018,1,1,0,30,0
2018,1,1,0,40,0
2018,1,1,0,50,0
2018,1,1,1,0,0
2018,1,1,1,10,0
2018,1,1,1,20,0
2018,1,1,1,30,0
2018,1,1,1,40,0
2018,1,1,1,50,0
2018,1,1,2,0,0
2018,1,1,2,10,0
2018,1,1,2,20,0
2018,1,1,2,30,0
2018,1,1,2,40,0
2018,1,1,2,50,0
2018,1,1,3,0,0
2018,1,1,3,10,0
2018,1,1,3,20,0
2018,1,1,3,30,0
2018,1,1,3,40,0
2018,1,1,3,50,0
2018,1,1,4,0,0
2018,1,1,4,10,0
2018,1,1,4,20,0
2018,1,1,4,30,0
2018,1,1,4,40,0
2018,1,1,4,50,0
2018,1,1,5,0,0
2018,1,1,5,10,0
2018,1,1,5,20,0
2018,1,1,5,30,0
2018,1,1,5,40,0
2018,1,1,5,50,0
2018,1,1,6,0,0
2018,1,1,6,10,0
2018,1,1,6,20,0
2018,1,1,6,30,0
2018,1,1,6,40,0
2018,1,1,6,50,0
2018,1,1,7,0,0
2018,1,1,7,10,0
2018,1,1,7,20,0
2018,1,1,7,30,0
2018,1,1,7,40,0
2018,1,1,7,50,0
2018,1,1,8,0,0
2018,1,1,8,10,0
2018,1,1,8,20,0
2018,1,1,8,30,0
2018,1,1,8,40,0
2018,1,1,8,50,0
2018,1,1,9,0,0
2018,1,1,9,10,0
2018,1,1,9,20,0
2018,1,1,9,30,0
2018,1,1,9,40,0
2018,1,1,9,50,14
2018,1,1,10,0,48
2018,1,1,10,10,76
2018,1,1,10,20,107
2018,1,1,10,30,19
2018,1,1,10,40,180
2018,1,1,10,50,218
2018,1,1,11,0,256
2018,1,1,11,10,295
2018,1,1,11,20,335
2018,1,1,11,30,374
2018,1,1,11,40,81
2018,1,1,11,50,90
2018,1,1,12,0,132
2018,1,1,12,10,192
2018,1,1,12,20,210
2018,1,1,12,30,226
2018,1,1,12,40,343
2018,1,1,12,50,368
2018,1,1,13,0,356
2018,1,1,13,10,450
2018,1,1,13,20,475
2018,1,1,13,30,813
2018,1,1,13,40,455
2018,1,1,13,50,475
2018,1,1,14,0,378
2018,1,1,14,10,138
2018,1,1,14,20,142
2018,1,1,14,30,317
2018,1,1,14,40,176
2018,1,1,14,50,179
2018,1,1,15,0,115
2018,1,1,15,10,125
2018,1,1,15,20,126
2018,1,1,15,30,66
2018,1,1,15,40,78
2018,1,1,15,50,78
2018,1,1,16,0,114
2018,1,1,16,10,200
2018,1,1,16,20,200
2018,1,1,16,30,266
2018,1,1,16,40,162
2018,1,1,16,50,161
2018,1,1,17,0,118
2018,1,1,17,10,157
2018,1,1,17,20,156
2018,1,1,17,30,519
2018,1,1,17,40,226
2018,1,1,17,50,222
2018,1,1,18,0,91
2018,1,1,18,10,129
2018,1,1,18,20,124
2018,1,1,18,30,201
2018,1,1,18,40,34
2018,1,1,18,50,32
2018,1,1,19,0,181
2018,1,1,19,10,71
2018,1,1,19,20,66
2018,1,1,19,30,23
2018,1,1,19,40,17
2018,1,1,19,50,16
2018,1,1,20,0,277
2018,1,1,20,10,218
2018,1,1,20,20,199
2018,1,1,20,30,113
2018,1,1,20,40,77
2018,1,1,20,50,69
2018,1,1,21,0,23
2018,1,1,21,10,8
2018,1,1,21,20,7
2018,1,1,21,30,6
2018,1,1,21,40,5
2018,1,1,21,50,5
2018,1,1,22,0,172
2018,1,1,22,10,32
2018,1,1,22,20,24
2018,1,1,22,30,23
2018,1,1,22,40,22
2018,1,1,22,50,13
2018,1,1,23,0,3
2018,1,1,23,10,0
2018,1,1,23,20,0
2018,1,1,23,30,0
2018,1,1,23,40,0
2018,1,1,23,50,0
2018,1,2,0,0,0
2018,1,2,0,10,0
2018,1,2,0,20,0
2018,1,2,0,30,0
2018,1,2,0,40,0
2018,1,2,0,50,0
2018,1,2,1,0,0
2018,1,2,1,10,0
2018,1,2,1,20,0
2018,1,2,1,30,0
2018,1,2,1,40,0
2018,1,2,1,50,0
2018,1,2,2,0,0
2018,1,2,2,10,0
2018,1,2,2,20,0
2018,1,2,2,30,0
2018,1,2,2,40,0
2018,1,2,2,50,0
2018,1,2,3,0,0
2018,1,2,3,10,0
2018,1,2,3,20,0
2018,1,2,3,30,0
2018,1,2,3,40,0
2018,1,2,3,50,0
2018,1,2,4,0,0
2018,1,2,4,10,0
2018,1,2,4,20,0
2018,1,2,4,30,0
2018,1,2,4,40,0
2018,1,2,4,50,0
2018,1,2,5,0,0
2018,1,2,5,10,0
2018,1,2,5,20,0
2018,1,2,5,30,0
2018,1,2,5,40,0
2018,1,2,5,50,0
2018,1,2,6,0,0
2018,1,2,6,10,0
2018,1,2,6,20,0
2018,1,2,6,30,0
2018,1,2,6,40,0
2018,1,2,6,50,0
2018,1,2,7,0,0
2018,1,2,7,10,0
2018,1,2,7,20,0
2018,1,2,7,30,0
2018,1,2,7,40,0
2018,1,2,7,50,0
2018,1,2,8,0,0
2018,1,2,8,10,0
2018,1,2,8,20,0
2018,1,2,8,30,0
2018,1,2,8,40,0
2018,1,2,8,50,0
2018,1,2,9,0,0
2018,1,2,9,10,0
2018,1,2,9,20,0
